msg_id,msg,label,subset
0,здравствуйте  ишу 2х спальную квартиру в лимассоле  желательно гермасойя  семья из 2х взрослых и 2х детей  без животных  на длительный срок  бюджет до     евро  предложения в лс ,0,train
1, сниму комнату в лимассоле или недалеко от него  с начала августа  любые предложения в лс,0,train
2,мошенник риэлторским услугам ,0,train
3, sales  reg   lic   e  stylish apartment with sea view kissonerga  paphos  •total area    m2   balcony •bedrooms    •bathrooms     €      we have a lot to offer    продажа  reg   lic   e  стильные апартаменты вид на море •••kissonerga  пафос    •общая площадь  85м2   балкон •спальни    •ванные комнаты     €         директ telegram      у нас есть что вам предложить,0,train
4,важно   valerii korol tg user id    если ты не бот и не спамер  пройди проверку  нажав на кнопку  где есть,0,train
5,аренда no    e ️ларнака️между пила и декелия ️ в пешей доступности от моря  тихий район  вилла   спальни    санузла просторная веранда с летней мебелью открытого плана кухня  духовка  вытяжка и кухонная плита  посудомоечная машинка стиральная машина и сушилка  бассейн отопление крытая жилая площадь составляет около   кв м  дом полностью обставлен современной мебелью  цена      евро  один депозит   предоплаты  подробнее по телефону   ,0,train
6,привет ищу виллу посуточно с бюджетом  € в сутки от   до   дней с   по   августа примерно вилла нужна для видеосъемки любой город или посёлок современный дизайн крайне важен пишите мне в личку или по номеру   юля,0,train
7,важно   liss tg user id    если ты не бот и не спамер  пройди проверку  нажав на кнопку  где есть,0,train
8,total messages   ,0,train
9,аренда ️ларнака ️в центре города️ saint lazaro church ️ всё в пешей доступности до центральной набережной финекудес   минут  no    е квартира   спальня   санузел кухня открытого плана  все электро приборы стиральная машинка посудомоечная машинка балконы кондиционеры парковка стоимость      евро торг уместен подробнее по телефону   ,0,train
10,аренда ️ларнака ️макензи расположенный в нескольких метрах от берега маккензи бич в ларнаке набережной  оживленной местами и ресторанами это четырехэтажное здание с   спальнями оснащено первоклассным дизайном и удобствами  четырехэтажное закрытое здание  две квартиры на этаже  с отдельным входом  высококачественная отделка из высококачественного европейского материала крытые парковочные места  одно парковочное место на квартиру  доступ к которым осуществляется через парковочные ворота с дистанционным управлением  кладовые удобное расположение рядом с местными удобствами и достопримечательностями  близость к пляжу маккензи  две минуты пешком  внутренняя площадь   кв м плюс крытая веранда   кв м  первый этаж   спальни и   ванные комнаты год постройки   цена      евро в месяц подробнее по телефону   ,0,train
11, аренда долгосрочная  новое здание апартаментов     двуспальных апартаментов лимассол  гермасойа турист эрия   прекрасная локация в пешей доступности до гипермаркета  кафе  банков и аптек    минут пешком до пляжа дасуди и эвкалиптового парка  удобный выезд на главную дорогу    новое здание    двуспальных апартаментов    полностью меблированы и оснащены техникой    договор только на юридическое лицо  цена аренды €   ,1,train
12, alina tg user id    твоё сообщение удалено  причина  ссылка  я слежу за порядком в этом чате  по этой причине не даю возможность публиковать любые сообщения  где есть подозрительные ссылки  попробуй разместить своё сообщение   объявление без каких либо ссылок ,0,train
13,привет  philipp tg user id    это бесплатная группа по аренде и продаже недвижимости в республике кипр  длительно   посуточно   сдам   сниму  размещай свои объявления с фотографиями      штук  один объект   не чаще чем раз в   дня  не нужно спамить  посты только по теме группы  с указанием  сдам  сниму  ищу указать город   курорт  где находится объект ️невыполнение этих пунктов   бан подобные группы у нас есть по разным  странам мира  http t me russian groups купить рекламное место здесь   пишите  reklamaforum360,0,train
14,семья из двух человек ищет квартиру\апарты\дом в limassol  бюджет не более   без животных готовы заехать после   августа работаем на кипре  все документы официальные  пинкслип в процессе  долгосрочная аренда,0,train
15,важно   лилия tg user id    если ты не бот и не спамер  пройди проверку  нажав на кнопку  где есть,0,train
16,важно   evgeniia chikunova tg user id    если ты не бот и не спамер  пройди проверку  нажав на кнопку  где есть,0,train
17,sergihnoandgiovanni on viber rakuten  ,0,train
18, philip jam  tg user id    has been banned  reason   cas ban https cas chat query u   ,0,train
19, аренда     сп квартира    м2   kanika enaerios  limassol   €     уютные апартаменты на первой береговой линии • этаж    • этажность    • расстояние до моря —   м • вид на море • бытовая техника • мебель • кондиционирование воздуха • лифт • объект №   видео  обращайтесь к нам для получения дополнительной информации  ru   eng   gr  https dom com cy catalog rent   ,1,train
20, аренда лимасол цена  € в месяц потамос гермасоя недалеко от papas supermarket  сдаётся в аренду отремонтированная полностью мобелированная 3х спальная квартира 130m²   спальни   ванна   туалета   балкона конденционеры во всех комнатах электрическое отопление в пешей доступности вся инфраструктура  до моря   метров  камин в рабочем состоянии    спальни купят мебель по желанию клиента офисный стол кровати и т д  крытая парковка на   машины  квартира находится на   этаже  в здании   квартиры по   на каждом этаже без лифта  без животных    депозита   аренда  chrisostomos papageorgiou estate rn186 ln56 tommy s estate больше информации по тел  ,1,train
21,здравствуйте пришлите пожалуйста больше фото…,0,train
