msg_id,msg,label,subset
0,"здравствуйте. ишу 2х спальную квартиру в лимассоле. желательно гермасойя. семья из 2х взрослых и 2х детей. без животных. на длительный срок, бюджет до 1000-1500 евро. предложения в лс.",0,train
1,#сниму  комнату в лимассоле или недалеко от него. с начала августа. любые предложения в лс,0,train
2,мошенник риэлторским услугам.,0,train
3,"**sales**    reg.1053 lic.489/e **stylish apartment with sea view  kissonerga. paphos** •total area: 85 m2  + balcony  •bedrooms:  2 •bathrooms: 1 **€ 120,000** we have a lot to offer  ================ **продажа**  reg.1053 lic.489/e **стильные апартаменты вид на море  •••kissonerga. пафос. ** •общая площадь: 85м2 + балкон •спальни: 2 •ванные комнаты: 1 **€ 120 000 ****+35726935826****  директ telegram 24/7** у нас есть что вам предложить",0,train
4,"важно: [valerii korol](tg://user?id=193474890), если ты не бот и не спамер, пройди проверку, нажав на кнопку, где есть ",0,train
5,"аренда  no: 367/e ️ларнака️между пила и декелия ️  в пешей доступности от моря. тихий район.  вилла  3 спальни,  3 санузла  просторная веранда с летней мебелью  открытого плана  кухня (духовка, вытяжка и кухонная плита, посудомоечная машинка стиральная машина и сушилка) бассейн отопление  крытая жилая площадь составляет около 300 кв.м. дом полностью обставлен современной мебелью.  цена: 2,100 евро. один депозит 2 предоплаты.  подробнее по телефону  +35797726055",0,train
6,привет  ищу виллу посуточно с бюджетом 2000€ в сутки от 1 до 3 дней с 11 по 15 августа примерно  вилла нужна для видеосъемки  любой город или посёлок  современный дизайн крайне важен пишите мне в личку или по номеру 95727146 юля,0,train
7,"важно: [liss](tg://user?id=202814885), если ты не бот и не спамер, пройди проверку, нажав на кнопку, где есть ",0,train
8,total messages: 126772,0,train
9,"аренда  ️ларнака ️в центре города️ saint lazaro church ️  всё в пешей доступности до центральной набережной финекудес 5 минут.   no: 367/е   квартира  3 спальня  2 санузел  кухня открытого плана, все электро приборы стиральная машинка посудомоечная машинка  балконы  кондиционеры парковка    стоимость: 1.300 евро  торг уместен   подробнее по телефону  +35797726055",0,train
10,"аренда  ️ларнака ️макензи   расположенный в нескольких метрах от берега маккензи-бич в ларнаке,набережной, оживленной местами и ресторанами это четырехэтажное здание с 2 спальнями оснащено первоклассным дизайном и удобствами.   четырехэтажное закрытое здание (две квартиры на этаже) с отдельным входом.   высококачественная отделка из высококачественного европейского материала   крытые парковочные места (одно парковочное место на квартиру), доступ к которым осуществляется через парковочные ворота с дистанционным управлением.  кладовые  удобное расположение рядом с местными удобствами и достопримечательностями.  близость к пляжу маккензи (две минуты пешком) внутренняя площадь 90 кв.м плюс крытая веранда 27 кв.м, первый этаж  2 спальни и 2 ванные комнаты  год постройки 2022    цена: 1,900 евро в месяц  подробнее по телефону  +35797726055",0,train
11,"#аренда долгосрочная **новое здание апартаментов **- 5 двуспальных апартаментов лимассол, гермасойа турист эрия  - прекрасная локация в пешей доступности до гипермаркета, кафе, банков и аптек, 13 минут пешком до пляжа дасуди и эвкалиптового парка, удобный выезд на главную дорогу; - новое здание, 5 двуспальных апартаментов; - полностью меблированы и оснащены техникой; - договор только на юридическое лицо.   цена аренды €13.500",1,train
12,"[alina](tg://user?id=5044643933), твоё сообщение удалено. причина: ссылка. я слежу за порядком в этом чате, по этой причине не даю возможность публиковать любые сообщения, где есть подозрительные ссылки. попробуй разместить своё сообщение / объявление без каких-либо ссылок.",0,train
13," привет [philipp](tg://user?id=282606137)! это бесплатная группа по аренде и продаже недвижимости в республике кипр (длительно / посуточно - сдам / сниму)   размещай свои объявления с фотографиями (1-6 штук)   один объект - не чаще чем раз в 3 дня (не нужно спамить!)   посты только по теме группы, с указанием #сдам #сниму #ищу   указать город / курорт, где находится объект  ️невыполнение этих пунктов = бан   подобные группы у нас есть по разным [**странам мира  ](http://t.me/russian_groups)**купить рекламное место здесь - пишите @reklamaforum360",0,train
14,"семья из двух человек ищет квартиру\апарты\дом в limassol. бюджет не более 1500 без животных готовы заехать после 16 августа работаем на кипре, все документы официальные (пинкслип в процессе) долгосрочная аренда",0,train
15,"важно: [лилия](tg://user?id=817307264), если ты не бот и не спамер, пройди проверку, нажав на кнопку, где есть ",0,train
16,"важно: [evgeniia chikunova](tg://user?id=1105556253), если ты не бот и не спамер, пройди проверку, нажав на кнопку, где есть ",0,train
17,sergihnoandgiovanni on viber rakuten !,0,train
18,[philip jam ](tg://user?id=5511912145) has been banned! reason: [cas ban](https://cas.chat/query?u=5511912145).,0,train
19,"**аренда | 3-сп квартира| 115 м2 | kanika enaerios, limassol | €2.500** уютные апартаменты на первой береговой линии • этаж: 7 • этажность: 7 • расстояние до моря — 100 м • вид на море • бытовая техника • мебель • кондиционирование воздуха • лифт • объект №49653 (видео) обращайтесь к нам для получения дополнительной информации (ru / eng / gr) https://dom.com.cy/catalog/rent/49653/",1,train
20,"#аренда лимасол  цена 2800€ в месяц   потамос гермасоя недалеко от papas supermarket.  сдаётся в аренду отремонтированная полностью мобелированная 3х спальная квартира 130m² 3 спальни 1 ванна 2 туалета 2 балкона конденционеры во всех комнатах  электрическое отопление в пешей доступности вся инфраструктура.  до моря 750 метров. камин в рабочем состоянии. 2 спальни купят мебель по желанию клиента.(офисный стол,кровати и т.д) крытая парковка на 2 машины. квартира находится на 2 этаже, в здании 4 квартиры по 2 на каждом этаже.без лифта. без животных.   2 депозита 1 аренда.  chrisostomos papageorgiou estate rn186.ln56  tommy_s estate  больше информации по тел.99199676",1,train
21,здравствуйте!пришлите пожалуйста больше фото…,0,train
22,"аренда. сдаётся мезонет в мазотосе. закрытый  комплекс с бассейном. 2 спальни,  2 туалета. есть мебель и необходимая  бытовая техника. парковочное место. магазины и рестораны в пешей доступности. от аэропорта ларнаки 20 минут. цена 600 евро. короткая аренда 1200. тел.+35799056232",0,train
23," привет [alexey](tg://user?id=535455913)! это бесплатная группа по аренде и продаже недвижимости в республике кипр (длительно / посуточно - сдам / сниму)   размещай свои объявления с фотографиями (1-6 штук)   один объект - не чаще чем раз в 3 дня (не нужно спамить!)   посты только по теме группы, с указанием #сдам #сниму #ищу   указать город / курорт, где находится объект  ️невыполнение этих пунктов = бан   подобные группы у нас есть по разным [**странам мира  ](http://t.me/russian_groups)**купить рекламное место здесь - пишите @reklamaforum360",0,train
24," привет [tatyana zheleznaya](tg://user?id=514130077)! это бесплатная группа по аренде и продаже недвижимости в республике кипр (длительно / посуточно - сдам / сниму)   размещай свои объявления с фотографиями (1-6 штук)   один объект - не чаще чем раз в 3 дня (не нужно спамить!)   посты только по теме группы, с указанием #сдам #сниму #ищу   указать город / курорт, где находится объект  ️невыполнение этих пунктов = бан   подобные группы у нас есть по разным [**странам мира  ](http://t.me/russian_groups)**купить рекламное место здесь - пишите @reklamaforum360",0,train
25,"[zosimidis taxi](tg://user?id=1489773933), your message was deleted",0,train
26,аренда  ️ларнака ️ tersefanou ️  пентхаус в комплексе.    комплекс с общим бассейном  2 спальни  балкон парковка крытая  кладовая ванная комната  крытая площадь 100м и 100м веранда.  цена: 900 евро в месяц    подробнее по телефону  +35797726055,0,train
27,"продается классная 3х спальная квартира  люксовый проект!  кипр, лимасол, агиас тихонас/параклиша tourist area     х спальная квартира в современном люксовом комплексе, в  туристической зоне в минутах ходьбы от пляжа.  этаж – 4ый; общая крытая площадь 203 кв.м.;  •крытая парковка;  •кладовая; •  отдельная кухня; - высокое качество строительства (класса люкс)! - пешая доступность к морю (400м)! - бассейн / сауна  - тренажерный зал  - игровые спортивные площадки; •титулы в наличие! •развитая инфраструктура стоимость 880 000 евро + ндс .    подходит под программу пмж  больше фото и видео обзор вышлю по запросу. по вопросам звоните/пишите+357 95570105 (whatsapp)",0,train
28,"[nano moran](tg://user?id=5516766428), you were banned (spam).",0,train
